"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:38:30 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp02_+SIW
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

TimeStep,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
32,0.8070855,0.7564546,0.1745483,17.88078,2.102421,27.25744,4.817993,11.40518,69.31229,62.64679,40.55857,225.3238,234.5714,4480.45
33,0.8044438,0.7556673,0.1743074,17.8779,2.101438,27.26594,4.821192,11.40741,69.30452,62.64719,40.57193,225.2645,234.5951,4480.678
34,0.8017784,0.7549031,0.1741032,17.87554,2.100405,27.27444,4.823991,11.40939,69.29989,62.64858,40.58673,225.2205,234.6159,4480.949
35,0.7991052,0.754164,0.1739335,17.87364,2.099336,27.28296,4.826394,11.41112,69.29831,62.6509,40.60271,225.1918,234.6337,4481.261
36,0.7964334,0.7534506,0.1737964,17.87219,2.09824,27.29149,4.82841,11.41262,69.29968,62.6541,40.6197,225.178,234.6484,4481.609
37,0.7937766,0.752765,0.1736905,17.8712,2.097125,27.30002,4.830051,11.41389,69.30392,62.65813,40.6375,225.1788,234.66,4481.983
38,0.7911419,0.7521088,0.173614,17.87065,2.096,27.30853,4.831334,11.41497,69.31092,62.66292,40.65594,225.1932,234.6686,4482.376
39,0.7885423,0.7514834,0.1735651,17.87054,2.094872,27.31703,4.832279,11.41585,69.3205,62.66842,40.6749,225.2205,234.6741,4482.784
40,0.7859873,0.7508915,0.1735421,17.87088,2.093749,27.32547,4.83291,11.41657,69.33247,62.67458,40.69419,225.2598,234.6767,4483.202
41,0.7834865,0.7503344,0.1735428,17.87167,2.092636,27.33386,4.833252,11.41712,69.3466,62.68132,40.71371,225.3098,234.6763,4483.619
42,0.78105,0.7498139,0.1735654,17.87288,2.091539,27.34217,4.833335,11.41755,69.36268,62.68861,40.73331,225.3694,234.6731,4484.033
43,0.7786852,0.749332,0.1736084,17.87455,2.090463,27.35036,4.833186,11.41785,69.38045,62.69639,40.75293,225.4371,234.6672,4484.435
44,0.7763982,0.7488886,0.1736699,17.87668,2.08941,27.35844,4.832837,11.41805,69.39969,62.70461,40.7725,225.5116,234.6588,4484.822
45,0.7741942,0.7484856,0.1737479,17.87929,2.088385,27.36637,4.83232,11.41817,69.42012,62.7132,40.79193,225.5915,234.6482,4485.188
46,0.7720772,0.7481233,0.1738408,17.88233,2.087388,27.3741,4.831664,11.41823,69.44147,62.72212,40.81116,225.6753,234.6353,4485.53
47,0.7700511,0.747802,0.173946,17.88578,2.086421,27.38164,4.830901,11.41823,69.46346,62.73131,40.83008,225.7616,234.6206,4485.842
48,0.7681196,0.747522,0.1740615,17.88961,2.085487,27.38895,4.830062,11.4182,69.48577,62.74068,40.84861,225.8489,234.6042,4486.124
49,0.7662865,0.7472829,0.1741859,17.89383,2.084584,27.39602,4.829176,11.41814,69.50818,62.75019,40.86671,225.9359,234.5863,4486.371
50,0.7645541,0.7470843,0.1743169,17.89837,2.083715,27.4028,4.82827,11.41808,69.5304,62.75979,40.88434,226.0213,234.5672,4486.582
51,0.7629248,0.7469253,0.174453,17.90322,2.08288,27.40931,4.827371,11.41803,69.55219,62.76941,40.90144,226.1038,234.547,4486.756
