"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:57:14 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp01_base
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"<HEADER extra/>"
Data,"Average regional biomass by group (t/km^2)"
Area,"Region 1"
Number_of_cells,56
"<HEADER end/>"

TimeStep,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
1,0.4386728,2.245322,3.65817,9.075668,52.39196,75.0425,61.13451,272.0585,386.2821
2,0.4373898,2.252028,3.660951,9.060212,52.42985,75.04217,61.1125,272.0658,386.1987
3,0.4361709,2.257756,3.663876,9.045646,52.46381,75.03729,61.09127,272.0742,386.1139
4,0.4350079,2.262486,3.666921,9.032014,52.49369,75.02806,61.07113,272.0834,386.0291
5,0.4338987,2.266214,3.670065,9.019348,52.51941,75.01479,61.05234,272.0933,385.9456
6,0.4328427,2.268605,3.673287,9.007679,52.54102,74.99783,61.03515,272.1039,385.8647
7,0.4318385,2.270061,3.676562,8.997077,52.55858,74.97756,61.01981,272.1149,385.7878
8,0.4308855,2.270694,3.679867,8.987561,52.57221,74.95441,61.00643,272.1263,385.716
9,0.430198,2.270556,3.683179,8.979117,52.58211,74.92883,60.9952,272.1379,385.6502
10,0.4295776,2.269682,3.68647,8.97174,52.58841,74.90126,60.98619,272.1496,385.5912
11,0.4289944,2.268111,3.689718,8.965405,52.59133,74.8722,60.97948,272.1613,385.5399
12,0.4284428,2.265888,3.6929,8.960096,52.5911,74.84211,60.9751,272.1731,385.4969
13,0.427921,2.26265,3.695996,8.956166,52.58796,74.81148,60.97299,272.1845,385.4626
14,0.4274276,2.258671,3.698987,8.953156,52.58215,74.78078,60.97318,272.1957,385.4372
15,0.4269605,2.254087,3.701857,8.950929,52.57389,74.75039,60.97557,272.2065,385.4208
16,0.4265182,2.248989,3.704592,8.94943,52.56348,74.72083,60.98005,272.2169,385.4137
17,0.4260988,2.243459,3.707177,8.948615,52.55119,74.69241,60.98648,272.2267,385.4154
18,0.42587,2.237575,3.709605,8.948445,52.53735,74.66553,60.99475,272.2361,385.4258
19,0.4256659,2.23141,3.711863,8.948885,52.52221,74.64049,61.00465,272.2449,385.4446
20,0.4254718,2.225036,3.713943,8.9499,52.5061,74.61761,61.01599,272.2531,385.4711
21,0.4252854,2.218522,3.715837,8.951447,52.48932,74.59711,61.02859,272.2607,385.505
22,0.4251058,2.211933,3.717548,8.953488,52.47215,74.57921,61.04221,272.2676,385.5455
23,0.4249319,2.205334,3.719074,8.955985,52.45484,74.564,61.05669,272.2739,385.5918
24,0.4247628,2.198782,3.720417,8.958891,52.43771,74.55168,61.07172,272.2795,385.6432
25,0.4245978,2.192322,3.72158,8.962161,52.42094,74.54224,61.08713,272.2845,385.6986
26,0.4244361,2.185995,3.722573,8.965734,52.40482,74.53572,61.10267,272.2887,385.7574
27,0.4242767,2.179844,3.723398,8.969572,52.38953,74.53214,61.11817,272.2924,385.8186
28,0.4241193,2.174649,3.724069,8.973632,52.37526,74.53139,61.13336,272.2955,385.8814
29,0.4239632,2.169833,3.724595,8.977827,52.36216,74.53337,61.1481,272.2979,385.9448
30,0.4238084,2.165266,3.724991,8.9821,52.3504,74.53797,61.16218,272.2998,386.008
31,0.423654,2.160924,3.725265,8.986402,52.34005,74.545,61.17545,272.3011,386.0701
32,0.4235001,2.156815,3.725435,8.990711,52.33123,74.55431,61.18776,272.3018,386.1304
33,0.4233455,2.152944,3.725518,8.995008,52.32401,74.56563,61.19899,272.3022,386.1881
34,0.4231905,2.149323,3.725523,8.999269,52.3184,74.57875,61.20899,272.3021,386.2426
35,0.4230342,2.145957,3.725467,9.0035,52.31445,74.59342,61.21773,272.3015,386.2932
36,0.4228767,2.142853,3.725366,9.007691,52.3121,74.60934,61.22512,272.3006,386.3392
37,0.4227176,2.140014,3.725232,9.011835,52.31132,74.62626,61.2311,272.2993,386.3806
38,0.4225568,2.137442,3.72508,9.015931,52.31207,74.64392,61.23566,272.2977,386.4167
39,0.4223936,2.135139,3.724922,9.019994,52.31426,74.66203,61.23882,272.2958,386.4474
40,0.4222285,2.133103,3.724769,9.024017,52.31775,74.68031,61.24055,272.2938,386.4725
41,0.4220608,2.131334,3.724632,9.027987,52.32245,74.69851,61.24092,272.2914,386.4916
42,0.4218907,2.129829,3.724523,9.031897,52.32819,74.71637,61.23997,272.289,386.5051
43,0.4217181,2.128582,3.724448,9.035732,52.33483,74.73366,61.23779,272.2863,386.5128
44,0.4215429,2.127587,3.724413,9.039487,52.34221,74.75014,61.23444,272.2834,386.5147
45,0.4213651,2.126841,3.724426,9.043145,52.35018,74.76566,61.23001,272.2803,386.5114
46,0.4211847,2.126334,3.724489,9.046697,52.35853,74.77999,61.22464,272.2773,386.5029
47,0.4210019,2.126058,3.724607,9.050123,52.36713,74.79302,61.21844,272.274,386.4893
48,0.4208167,2.126006,3.72478,9.053404,52.3758,74.8046,61.21152,272.2707,386.4715
49,0.4206292,2.126168,3.72501,9.056536,52.38442,74.81462,61.20402,272.2673,386.4497
50,0.4204394,2.126534,3.725294,9.059495,52.39282,74.82304,61.19607,272.2639,386.4243
51,0.4202476,2.127095,3.725633,9.062263,52.40089,74.82979,61.18778,272.2604,386.3958
52,0.4200539,2.127838,3.726021,9.064826,52.40848,74.83484,61.1793,272.257,386.3648
53,0.4198586,2.128754,3.726456,9.067172,52.41552,74.83819,61.17075,272.2534,386.3318
54,0.4196617,2.12983,3.726933,9.06928,52.42187,74.83989,61.16227,272.2499,386.2973
55,0.4194632,2.131055,3.727445,9.071139,52.42749,74.83994,61.15397,272.2463,386.2619
56,0.4192638,2.132416,3.72799,9.072742,52.43231,74.83846,61.14594,272.2429,386.2261
57,0.4190635,2.133903,3.728557,9.074073,52.4363,74.83553,61.13831,272.2395,386.1904
58,0.4188625,2.135501,3.729143,9.07513,52.43938,74.83123,61.13116,272.2362,386.1554
59,0.4186609,2.137199,3.72974,9.0759,52.44159,74.82571,61.12457,272.2329,386.1213
60,0.4184593,2.138985,3.730341,9.076379,52.44289,74.81909,61.11859,272.2298,386.0888
61,0.4182578,2.140845,3.730941,9.076561,52.4433,74.81151,61.11331,272.2267,386.0581
62,0.4180562,2.142768,3.73153,9.076451,52.44284,74.80312,61.10876,272.2238,386.0297
63,0.4178553,2.144739,3.732105,9.07605,52.44157,74.79408,61.10494,272.2211,386.0037
64,0.417655,2.146748,3.732657,9.075371,52.43953,74.78456,61.10192,272.2185,385.9807
65,0.4174556,2.14878,3.733184,9.074412,52.43674,74.7747,61.0997,272.2159,385.9604
66,0.4172575,2.150824,3.733677,9.073194,52.43333,74.76466,61.09826,272.2137,385.9434
67,0.4170604,2.152869,3.734135,9.071721,52.42934,74.75462,61.09758,272.2116,385.9295
68,0.4168648,2.154902,3.734554,9.070012,52.42487,74.74467,61.09766,272.2096,385.9189
69,0.4166709,2.156912,3.734931,9.068088,52.42,74.73501,61.09844,272.208,385.9116
70,0.4164787,2.158891,3.735262,9.065965,52.41484,74.72572,61.09987,272.2065,385.9076
71,0.4162887,2.160825,3.735547,9.063664,52.40944,74.71693,61.10194,272.2052,385.9066
72,0.4161007,2.162113,3.735785,9.061209,52.40394,74.70878,61.10458,272.2042,385.9087
73,0.4159145,2.163269,3.735976,9.058663,52.3984,74.7013,61.1077,272.2033,385.9137
74,0.4157304,2.164372,3.73612,9.056072,52.39292,74.69459,61.11126,272.2027,385.9212
75,0.4155484,2.165438,3.736217,9.053469,52.38757,74.68873,61.11517,272.2023,385.9312
76,0.4153686,2.166462,3.736271,9.050875,52.38246,74.68374,61.11938,272.2021,385.9434
77,0.4151909,2.167446,3.736284,9.048307,52.3776,74.67967,61.12379,272.2021,385.9576
78,0.4150156,2.168384,3.736258,9.045785,52.37309,74.67653,61.12835,272.2023,385.9732
79,0.4148428,2.169272,3.736196,9.043319,52.36896,74.67432,61.13297,272.2027,385.9902
80,0.4146721,2.17011,3.736102,9.040925,52.36526,74.67303,61.1376,272.2032,386.0083
81,0.4145039,2.170896,3.735981,9.038608,52.36204,74.67265,61.14216,272.2039,386.0271
82,0.4143385,2.171628,3.735837,9.036382,52.35932,74.6731,61.1466,272.2048,386.0462
83,0.4141755,2.172304,3.735675,9.034245,52.35713,74.67439,61.15082,272.2057,386.0655
