"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/19/2024 3:05:59 PM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp01_base
MapRows,10
MapCols,10
MapCellLength,0.5
MapCellSize,0.004499116
MapLatitude,0
MapLongitude,0
NoActiveCells,100
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 0"
Number_of_cells,100
"<HEADER end/>"

TimeStep,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
1,1.131335,1.131335,0.2514079,21.60067,2.400075,28.80091,4.80015,14.40045,80.0025,80.0025,40.00124,225.007,225.0072,4500.142
2,1.131305,1.131305,0.2514011,21.6001,2.400011,28.80018,4.800012,14.40016,80.00037,80.00089,39.99933,225.0014,225.0007,4500.016
3,1.131294,1.131294,0.2513989,21.59989,2.39999,28.79993,4.799967,14.40003,79.99971,80.00024,39.99813,224.9997,224.9987,4499.978
4,1.131292,1.131291,0.2513987,21.59987,2.399987,28.79987,4.799958,14.39999,79.99964,80.00005,39.99764,224.9994,224.9984,4499.974
5,1.131294,1.131292,0.2513993,21.59991,2.399989,28.79989,4.799962,14.39997,79.99979,80.00008,39.99755,224.9996,224.9987,4499.98
6,1.131295,1.131293,0.2514001,21.59996,2.399992,28.79993,4.799968,14.39997,79.99999,80.00017,39.99763,225,224.9991,4499.988
7,1.131296,1.131295,0.2514009,21.60001,2.399994,28.79996,4.799973,14.39997,80.00017,80.00028,39.99773,225.0004,224.9994,4499.994
8,1.131297,1.131296,0.2514015,21.60005,2.399996,28.79999,4.799977,14.39997,80.00035,80.00037,39.99782,225.0007,224.9996,4500
9,1.131297,1.131297,0.251402,21.60006,2.399997,28.80002,4.799979,14.39998,80.0005,80.00046,39.99788,225.001,224.9999,4500
10,1.131297,1.131298,0.2514025,21.60007,2.399997,28.80003,4.799979,14.39998,80.00059,80.00052,39.99794,225.0011,225,4500.002
11,1.131297,1.131299,0.2514028,21.60007,2.399997,28.80005,4.799979,14.39999,80.00066,80.00056,39.99796,225.0013,225,4500.003
12,1.131297,1.1313,0.2514031,21.60007,2.399998,28.80005,4.799979,14.39999,80.00071,80.00061,39.99798,225.0013,225,4500.004
13,1.131297,1.131301,0.2514034,21.60007,2.399997,28.80005,4.799979,14.39999,80.00076,80.00064,39.99799,225.0014,225,4500.004
14,1.131297,1.131302,0.2514036,21.60006,2.399997,28.80004,4.799978,14.39999,80.00081,80.00067,39.99799,225.0014,225,4500.003
15,1.131297,1.131303,0.2514038,21.60006,2.399996,28.80003,4.799977,14.39999,80.00083,80.00068,39.99799,225.0014,225.0001,4500.002
16,1.131297,1.131303,0.251404,21.60005,2.399996,28.80002,4.799977,14.39999,80.00085,80.0007,39.998,225.0013,225.0001,4500.001
17,1.131297,1.131304,0.2514042,21.60005,2.399996,28.80001,4.799978,14.4,80.00089,80.00071,39.998,225.0013,225.0001,4500
18,1.131298,1.131305,0.2514043,21.60004,2.399996,28.8,4.799978,14.4,80.00091,80.00072,39.99799,225.0012,225.0002,4500
19,1.131298,1.131306,0.2514044,21.60003,2.399996,28.79999,4.799981,14.4,80.00092,80.00071,39.99799,225.0011,225.0003,4500
20,1.131299,1.131307,0.2514045,21.60002,2.399996,28.79997,4.799982,14.40001,80.00092,80.00071,39.99799,225.001,225.0004,4500
21,1.131299,1.131308,0.2514046,21.60001,2.399997,28.79996,4.799983,14.40001,80.00094,80.00072,39.99799,225.001,225.0005,4500
22,1.131299,1.131309,0.2514047,21.6,2.399997,28.79995,4.799986,14.40002,80.00095,80.00071,39.99799,225.0009,225.0006,4500
23,1.1313,1.131309,0.2514048,21.6,2.399997,28.79994,4.799987,14.40002,80.00095,80.00071,39.99799,225.0008,225.0007,4499.999
24,1.1313,1.13131,0.2514048,21.59999,2.399997,28.79993,4.799989,14.40002,80.00094,80.00071,39.99799,225.0006,225.0008,4499.999
25,1.131301,1.131311,0.2514049,21.59999,2.399997,28.79992,4.799992,14.40003,80.00093,80.00071,39.99799,225.0005,225.0008,4499.998
26,1.131301,1.131312,0.2514049,21.59999,2.399997,28.79991,4.799994,14.40003,80.00091,80.00071,39.99799,225.0005,225.0008,4499.998
27,1.131302,1.131312,0.251405,21.59999,2.399997,28.79992,4.799994,14.40004,80.00089,80.00072,39.99799,225.0004,225.0008,4499.998
28,1.131302,1.131313,0.251405,21.59999,2.399997,28.79992,4.799996,14.40004,80.00088,80.00072,39.99799,225.0004,225.0009,4499.998
29,1.131303,1.131314,0.2514051,21.59998,2.399996,28.79992,4.799998,14.40005,80.00085,80.00072,39.998,225.0003,225.0009,4499.998
30,1.131303,1.131314,0.2514051,21.59998,2.399996,28.79992,4.8,14.40005,80.00082,80.00072,39.998,225.0003,225.0009,4499.998
31,1.131303,1.131315,0.2514051,21.59998,2.399995,28.79992,4.800001,14.40006,80.00081,80.00072,39.998,225.0002,225.0008,4499.998
32,1.131304,1.131315,0.2514052,21.59998,2.399995,28.79992,4.800002,14.40006,80.00077,80.00074,39.99799,225.0002,225.0008,4499.999
33,1.131304,1.131316,0.2514053,21.59999,2.399994,28.79993,4.800003,14.40006,80.00074,80.00074,39.998,225.0002,225.0008,4499.999
34,1.131305,1.131316,0.2514054,21.59998,2.399994,28.79994,4.800003,14.40006,80.0007,80.00075,39.998,225.0002,225.0007,4500
35,1.131305,1.131316,0.2514054,21.59999,2.399993,28.79996,4.800003,14.40006,80.00069,80.00076,39.99801,225.0003,225.0007,4500
36,1.131306,1.131317,0.2514055,21.59999,2.399993,28.79996,4.800001,14.40006,80.00067,80.00076,39.99801,225.0004,225.0006,4500
37,1.131306,1.131317,0.2514056,21.59999,2.399993,28.79998,4.8,14.40006,80.00065,80.00078,39.99802,225.0004,225.0006,4500
38,1.131307,1.131317,0.2514057,21.59999,2.399992,28.8,4.8,14.40006,80.00064,80.00078,39.99802,225.0005,225.0006,4500.003
39,1.131307,1.131317,0.2514057,21.59999,2.399992,28.80001,4.799999,14.40006,80.00064,80.00079,39.99802,225.0007,225.0006,4500.005
40,1.131308,1.131317,0.2514058,21.59999,2.399992,28.80002,4.799997,14.40006,80.00062,80.0008,39.99802,225.0008,225.0005,4500.005
41,1.131308,1.131317,0.2514059,21.6,2.399991,28.80003,4.799994,14.40006,80.0006,80.00081,39.99802,225.0009,225.0004,4500.007
42,1.131308,1.131317,0.251406,21.6,2.399991,28.80005,4.799992,14.40006,80.00059,80.00081,39.99801,225.001,225.0003,4500.007
43,1.131309,1.131317,0.2514061,21.6,2.399991,28.80006,4.799989,14.40005,80.00057,80.00082,39.99802,225.0011,225.0002,4500.008
44,1.13131,1.131317,0.2514062,21.6,2.39999,28.80006,4.799987,14.40005,80.00056,80.00082,39.99801,225.0012,225.0001,4500.008
45,1.13131,1.131317,0.2514063,21.6,2.39999,28.80006,4.799985,14.40004,80.00055,80.00082,39.99801,225.0013,225,4500.007
46,1.13131,1.131317,0.2514064,21.6,2.39999,28.80006,4.799982,14.40004,80.00056,80.00082,39.998,225.0013,225,4500.006
47,1.131311,1.131317,0.2514066,21.6,2.39999,28.80005,4.799979,14.40004,80.00057,80.00082,39.99799,225.0013,224.9999,4500.006
48,1.131311,1.131317,0.2514067,21.60001,2.39999,28.80005,4.799978,14.40003,80.00059,80.00082,39.99798,225.0013,224.9999,4500.006
49,1.131312,1.131317,0.2514068,21.60001,2.39999,28.80003,4.799977,14.40003,80.0006,80.00082,39.99797,225.0012,224.9999,4500.004
50,1.131312,1.131318,0.2514069,21.60001,2.39999,28.80002,4.799977,14.40003,80.00061,80.00083,39.99797,225.0012,224.9999,4500.003
51,1.131312,1.131318,0.251407,21.60001,2.399991,28.80001,4.799976,14.40003,80.00063,80.00083,39.99797,225.0011,224.9999,4500.002
52,1.131313,1.131319,0.2514071,21.60001,2.399992,28.8,4.799976,14.40003,80.00066,80.00083,39.99797,225.0011,225,4500.001
53,1.131313,1.131319,0.2514073,21.6,2.399992,28.79999,4.799977,14.40003,80.00067,80.00083,39.99796,225.0011,225,4500
54,1.131314,1.13132,0.2514074,21.6,2.399993,28.79997,4.799977,14.40003,80.00069,80.00082,39.99796,225.001,225.0001,4500
