"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:57:14 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp01_base
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"<HEADER extra/>"
Data,"Average biomass by group (t/km^2)"
Area,"Total area (km^2)"
Number_of_cells,3600
"<HEADER end/>"

Year,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
1,0.4278876,2.225045,3.587518,8.723609,51.3474,74.99649,61.07473,263.6039,384.4463
2,0.4209501,2.203058,3.622258,8.666442,51.26778,74.63557,61.07585,263.6975,384.1302
3,0.4185505,2.143016,3.634427,8.68397,51.09594,74.56007,61.25574,263.7472,384.8146
4,0.4165303,2.108978,3.634146,8.72931,51.11349,74.75962,61.30843,263.7425,385.2346
5,0.4142942,2.106662,3.638273,8.767058,51.20364,74.85195,61.22092,263.7101,384.9559
6,0.4119591,2.124939,3.644957,8.770245,51.19572,74.7597,61.1721,263.6777,384.6476
7,0.4098023,2.140939,3.646425,8.744838,51.13623,74.68908,61.21071,263.6675,384.731
8,0.4079562,2.147877,3.644515,8.724117,51.13092,74.72643,61.24591,263.6784,384.9206
9,0.4064206,2.148009,3.645512,8.718061,51.17021,74.7715,61.23198,263.6948,384.9178
10,0.4051135,2.144076,3.649933,8.720986,51.18787,74.75628,61.21161,263.7059,384.8239
11,0.403949,2.139765,3.653711,8.724776,51.17164,74.72634,61.21852,263.7091,384.8236
12,0.4028609,2.13693,3.655101,8.727062,51.15876,74.72964,61.23371,263.7082,384.8885
13,0.4018164,2.135931,3.655696,8.728856,51.16464,74.74792,61.23381,263.7058,384.9071
14,0.4008164,2.136409,3.656788,8.729735,51.17177,74.74957,61.2256,263.7031,384.8743
15,0.3998798,2.137749,3.657936,8.72865,51.16865,74.73933,61.22446,263.7012,384.8586
16,0.399024,2.139274,3.658597,8.726233,51.16364,74.73646,61.22925,263.7008,384.8758
17,0.3982535,2.140461,3.659145,8.7241,51.16502,74.74167,61.23119,263.7021,384.8895
18,0.3975624,2.141116,3.660064,8.72301,51.16898,74.74377,61.22918,263.7041,384.885
19,0.396939,2.141325,3.661215,8.722529,51.16994,74.74069,61.22843,263.706,384.88
20,0.3963725,2.14126,3.662217,8.722129,51.16867,74.73849,61.23017,263.7073,384.8855
