"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:43:49 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp04_+SIW+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional biomass by group (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

TimeStep,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
1,0.5223227,2.511219,4.617356,10.62613,46.63234,75.25336,60.76219,255.9382,381.1948
2,0.5220256,2.512099,4.618277,10.63226,46.62037,75.25629,60.76206,255.9174,381.1892
3,0.5217169,2.513941,4.618978,10.63735,46.60783,75.25919,60.76204,255.8967,381.1834
4,0.5213994,2.516698,4.619443,10.64142,46.59499,75.26208,60.76188,255.8755,381.1783
5,0.5210746,2.519846,4.619684,10.64459,46.582,75.26517,60.76183,255.8543,381.1721
6,0.5207451,2.52357,4.619702,10.64691,46.56887,75.26829,60.76153,255.8336,381.1657
7,0.5205517,2.52786,4.619506,10.64842,46.55596,75.27138,60.76107,255.8135,381.1585
8,0.5203705,2.532684,4.619106,10.64921,46.54345,75.27442,60.76051,255.7933,381.1514
9,0.5201871,2.537984,4.618524,10.64932,46.53133,75.27743,60.75991,255.7737,381.1441
10,0.5200033,2.543696,4.617774,10.64877,46.51979,75.2803,60.75908,255.7545,381.1359
11,0.5198194,2.549765,4.616853,10.64766,46.50877,75.28326,60.75815,255.7367,381.1274
12,0.5196365,2.556137,4.615796,10.64597,46.49871,75.28598,60.75703,255.7197,381.1188
13,0.5194549,2.562756,4.614617,10.64378,46.4893,75.28841,60.7556,255.7028,381.1099
14,0.5192736,2.569553,4.613339,10.64108,46.4808,75.29089,60.75435,255.6874,381.1011
15,0.5190965,2.576503,4.611979,10.63794,46.47321,75.29286,60.75265,255.6734,381.091
16,0.5189211,2.583533,4.610569,10.63439,46.46644,75.29503,60.75095,255.6602,381.0807
17,0.5187484,2.591586,4.60912,10.63047,46.46064,75.2967,60.74907,255.6478,381.0705
18,0.5185819,2.5999,4.60765,10.62609,46.4557,75.29807,60.74715,255.6368,381.0602
19,0.5184174,2.608207,4.606182,10.62127,46.45168,75.29916,60.74496,255.6267,381.0491
20,0.5182611,2.616378,4.604745,10.61599,46.44849,75.30008,60.74273,255.6183,381.0368
21,0.5181089,2.624346,4.603339,10.61026,46.44624,75.30064,60.74043,255.6113,381.0257
22,0.5179626,2.63207,4.601998,10.60413,46.44489,75.30095,60.73807,255.6055,381.0152
23,0.5178223,2.639486,4.600733,10.59766,46.44434,75.30093,60.73568,255.6007,381.0034
24,0.5176893,2.646557,4.599552,10.59083,46.44471,75.30071,60.73333,255.5971,380.9927
25,0.5175617,2.653236,4.598489,10.58378,46.4458,75.30016,60.7309,255.5955,380.9824
26,0.5174407,2.658738,4.597538,10.57652,46.44776,75.29938,60.72849,255.5947,380.9719
27,0.5173275,2.663665,4.596702,10.56917,46.45042,75.29842,60.72624,255.5953,380.9617
28,0.5172192,2.668147,4.596002,10.56183,46.45395,75.29726,60.72404,255.5972,380.9523
29,0.517117,2.672211,4.595431,10.55458,46.45816,75.29572,60.72186,255.6001,380.9432
30,0.5170221,2.675858,4.595003,10.5475,46.46298,75.29414,60.7199,255.6048,380.9342
31,0.5169336,2.679069,4.594712,10.5406,46.46835,75.29229,60.7179,255.6101,380.9269
32,0.5168505,2.681833,4.594561,10.53399,46.47426,75.2902,60.71616,255.6166,380.921
33,0.5167742,2.684139,4.594554,10.52768,46.48078,75.28787,60.71471,255.6239,380.9153
34,0.516704,2.685987,4.594659,10.52174,46.48751,75.28558,60.71323,255.6322,380.9105
35,0.5166407,2.687364,4.594911,10.51621,46.49474,75.28309,60.71217,255.6414,380.9057
36,0.5165819,2.688284,4.595282,10.51108,46.50198,75.28036,60.71113,255.651,380.9035
37,0.5165276,2.688741,4.595777,10.50646,46.50944,75.27754,60.71033,255.6609,380.901
38,0.5164816,2.688746,4.596372,10.50229,46.51686,75.27483,60.70976,255.6714,380.9006
39,0.5164397,2.688323,4.597059,10.49864,46.52431,75.27213,60.70955,255.6823,380.9005
40,0.5164015,2.687461,4.597857,10.49552,46.53175,75.26921,60.70952,255.6938,380.9008
41,0.5163692,2.686217,4.598722,10.4929,46.53884,75.26618,60.70952,255.7044,380.9041
42,0.5163398,2.684578,4.599661,10.49082,46.54553,75.26331,60.71004,255.7154,380.9064
43,0.5163147,2.68258,4.600659,10.48927,46.55218,75.26033,60.71067,255.7263,380.9096
44,0.516292,2.680251,4.601719,10.48821,46.55833,75.25739,60.71141,255.7376,380.9144
45,0.516273,2.677613,4.602799,10.48765,46.56395,75.25484,60.71243,255.7481,380.9205
46,0.5162563,2.674713,4.603924,10.48755,46.56907,75.25202,60.71386,255.7585,380.9266
47,0.5162412,2.671569,4.605057,10.48794,46.57362,75.24944,60.71515,255.7682,380.9324
48,0.516228,2.668234,4.606192,10.48874,46.5776,75.2471,60.71672,255.7775,380.9411
49,0.5162147,2.664718,4.607328,10.48993,46.58098,75.2447,60.71847,255.7865,380.9491
50,0.5162032,2.661066,4.608449,10.49148,46.58368,75.24261,60.72043,255.7944,380.9574
51,0.5161924,2.657311,4.609539,10.49335,46.58589,75.2408,60.72245,255.8018,380.9669
52,0.5161811,2.653468,4.61061,10.4955,46.58742,75.23898,60.72469,255.8092,380.9766
53,0.5161684,2.649588,4.611616,10.49788,46.58827,75.23739,60.72678,255.8151,380.9866
54,0.5161554,2.645693,4.6126,10.50048,46.58871,75.2361,60.72916,255.8208,380.996
55,0.5161422,2.641809,4.613511,10.50323,46.58857,75.23505,60.73143,255.8254,381.0063
56,0.5161266,2.637961,4.614372,10.5061,46.58773,75.23431,60.73389,255.8294,381.0168
57,0.5161113,2.634179,4.615162,10.50905,46.58665,75.23363,60.73618,255.8327,381.0271
58,0.5160935,2.630488,4.615887,10.51205,46.58507,75.23329,60.73853,255.8357,381.037
59,0.5160722,2.626896,4.616535,10.51511,46.58324,75.23316,60.74076,255.8373,381.0472
60,0.5160508,2.623443,4.61711,10.51815,46.58098,75.23335,60.74314,255.8387,381.0567
61,0.5160271,2.620122,4.617602,10.52116,46.57841,75.23361,60.74534,255.8392,381.0668
62,0.5160003,2.61697,4.618034,10.52412,46.57573,75.23425,60.74741,255.8393,381.0757
63,0.5159705,2.613986,4.618384,10.52698,46.57293,75.23505,60.74924,255.8386,381.0835
64,0.5159392,2.611187,4.618663,10.5298,46.56993,75.23603,60.75115,255.8377,381.0925
65,0.5159047,2.609385,4.618876,10.53253,46.56695,75.2372,60.75285,255.836,381.0993
66,0.515869,2.607855,4.619006,10.53509,46.56395,75.23851,60.7543,255.8341,381.1069
67,0.5158305,2.606456,4.619079,10.53749,46.56102,75.23999,60.7557,255.8317,381.1134
68,0.5157891,2.605171,4.619099,10.53971,46.55802,75.24167,60.75691,255.829,381.1187
69,0.5157466,2.604007,4.619069,10.54176,46.55513,75.24332,60.7579,255.8258,381.1233
70,0.5157023,2.602956,4.618975,10.54364,46.55252,75.24521,60.7587,255.8223,381.1275
71,0.5156562,2.602009,4.618853,10.54536,46.55003,75.24719,60.75922,255.819,381.1309
72,0.5156055,2.601187,4.618675,10.54694,46.54773,75.24905,60.75976,255.8156,381.1329
73,0.5155552,2.600467,4.618478,10.54837,46.54564,75.25105,60.76004,255.8119,381.136
74,0.5155015,2.599875,4.61826,10.54967,46.54372,75.25305,60.76011,255.8083,381.1368
75,0.5154473,2.599394,4.618021,10.55088,46.542,75.255,60.76012,255.8044,381.1375
76,0.5153889,2.599007,4.617755,10.552,46.54057,75.25695,60.75982,255.8005,381.1371
77,0.515329,2.598743,4.617482,10.55303,46.53929,75.25891,60.75934,255.7966,381.1358
78,0.5152701,2.598569,4.617199,10.55402,46.53827,75.26083,60.75866,255.7928,381.1338
79,0.5152063,2.5985,4.616921,10.55492,46.53742,75.26259,60.75797,255.789,381.1313
80,0.5151421,2.598536,4.616639,10.55581,46.53671,75.26434,60.75719,255.785,381.1284
81,0.5150763,2.59866,4.61636,10.55664,46.5362,75.26591,60.75618,255.7814,381.1252
82,0.5150084,2.598877,4.616098,10.55746,46.53576,75.26753,60.7552,255.7778,381.1218
83,0.5149402,2.599181,4.615832,10.55823,46.53554,75.2688,60.7541,255.7744,381.1169
84,0.5148701,2.59956,4.61558,10.55901,46.53537,75.26995,60.75299,255.7711,381.1118
85,0.5147991,2.600032,4.615346,10.55973,46.53518,75.27116,60.75169,255.7674,381.1071
86,0.5147268,2.600569,4.615126,10.56041,46.53513,75.27207,60.75045,255.7641,381.1018
87,0.5146535,2.601185,4.614914,10.5611,46.53502,75.27288,60.74921,255.7608,381.0959
88,0.5145785,2.601867,4.614726,10.56176,46.53501,75.27362,60.74785,255.7576,381.0902
89,0.5145056,2.602602,4.614541,10.56234,46.53485,75.27427,60.7465,255.754,381.0839
90,0.5144309,2.603401,4.614384,10.56291,46.53473,75.27466,60.74525,255.7511,381.0785
91,0.5143546,2.604261,4.614234,10.56343,46.53445,75.27481,60.74397,255.748,381.0731
92,0.51428,2.60516,4.614097,10.5639,46.53418,75.27515,60.74291,255.7452,381.0668
93,0.5142035,2.606114,4.613971,10.56429,46.53383,75.27515,60.74171,255.7423,381.0607
94,0.5141291,2.607108,4.613865,10.56466,46.53339,75.27518,60.74058,255.7394,381.0557
95,0.5140523,2.608136,4.613761,10.56492,46.53289,75.27502,60.73959,255.7366,381.0497
96,0.5139773,2.609197,4.613664,10.56511,46.53225,75.27483,60.73864,255.7338,381.045
97,0.5139014,2.610291,4.613569,10.56527,46.53162,75.27437,60.73777,255.7315,381.0396
98,0.5138265,2.611408,4.613494,10.56529,46.53085,75.27412,60.73698,255.7291,381.0345
99,0.5137514,2.612551,4.613429,10.56527,46.5299,75.27367,60.73621,255.7269,381.0304
100,0.513678,2.613717,4.613355,10.56515,46.529,75.2733,60.7356,255.7248,381.0266
101,0.5136039,2.61489,4.61328,10.56492,46.52804,75.27264,60.73504,255.7225,381.0231
102,0.5135317,2.616065,4.613206,10.56462,46.527,75.27219,60.73456,255.7209,381.0193
103,0.5134591,2.617251,4.613151,10.56422,46.52583,75.27153,60.73414,255.7189,381.0161
104,0.5133885,2.618437,4.613088,10.56373,46.5247,75.27103,60.73376,255.7174,381.013
105,0.5133178,2.619617,4.61302,10.56316,46.52361,75.2704,60.73346,255.716,381.0106
106,0.5132493,2.620795,4.612947,10.56252,46.52241,75.26981,60.73327,255.7145,381.0081
107,0.5131809,2.621966,4.612881,10.56181,46.52135,75.26936,60.73314,255.713,381.0061
108,0.5131141,2.623119,4.612805,10.56098,46.52034,75.26873,60.73302,255.712,381.0052
109,0.5130494,2.62425,4.612734,10.5601,46.51934,75.26825,60.73299,255.7111,381.0036
110,0.5129842,2.625367,4.612663,10.55914,46.5184,75.26769,60.73311,255.7103,381.0036
111,0.512921,2.626454,4.612594,10.55815,46.51754,75.26731,60.73317,255.7099,381.0031
112,0.5128597,2.627516,4.612528,10.55712,46.5167,75.2669,60.73324,255.7094,381.0027
113,0.5127985,2.628538,4.612461,10.55601,46.51619,75.26646,60.73336,255.7093,381.0028
114,0.5127395,2.629541,4.612396,10.55485,46.51563,75.26605,60.73346,255.7093,381.0026
115,0.5126809,2.630493,4.61234,10.55369,46.51507,75.26572,60.73372,255.7093,381.0028
116,0.5126253,2.631413,4.612288,10.5525,46.51474,75.26535,60.73388,255.7095,381.003
117,0.5125704,2.632297,4.612236,10.55127,46.51464,75.26511,60.73406,255.7101,381.0038
118,0.5125166,2.633122,4.612187,10.55006,46.51458,75.2648,60.73421,255.7108,381.0043
119,0.5124646,2.633907,4.612147,10.54884,46.51463,75.26451,60.73441,255.7117,381.0057
120,0.5124143,2.63464,4.612124,10.54764,46.51485,75.26432,60.7346,255.7126,381.0064
121,0.5127388,2.636431,4.613491,10.53538,46.52917,75.23843,60.72903,257.1455,381.0343
122,0.5131827,2.638312,4.617136,10.51972,46.54319,75.22373,60.72819,258.8363,381.1631
123,0.5133951,2.640511,4.623794,10.51665,46.56446,75.21143,60.72999,260.3642,381.3864
124,0.5134753,2.642665,4.633164,10.53148,46.59674,75.20135,60.73331,261.6103,381.6415
125,0.5134968,2.644624,4.644814,10.56319,46.63915,75.19271,60.7373,262.5788,381.8826
126,0.5134833,2.646193,4.65821,10.60834,46.68877,75.18546,60.74169,263.3153,382.0881
127,0.5134463,2.647578,4.67283,10.66319,46.74209,75.17894,60.74628,263.8705,382.2554
128,0.5134174,2.64889,4.688216,10.72415,46.79573,75.17271,60.75077,264.2887,382.3894
129,0.5133802,2.650237,4.70394,10.78823,46.84703,75.16634,60.75525,264.6037,382.4975
130,0.5133438,2.651718,4.719681,10.85291,46.89374,75.15994,60.75974,264.8412,382.5851
131,0.5133079,2.653466,4.735196,10.91612,46.93394,75.15325,60.76433,265.0193,382.6552
132,0.5132728,2.655576,4.750263,10.97632,46.9668,75.14639,60.76906,265.1524,382.713
133,0.51324,2.65816,4.764727,11.03225,46.99152,75.13905,60.77413,265.2491,382.7627
134,0.5132135,2.661719,4.77843,11.08297,47.00813,75.13163,60.77942,265.3185,382.8038
135,0.5131902,2.666108,4.791316,11.12792,47.01702,75.12438,60.78517,265.3677,382.8397
136,0.5131695,2.671308,4.802734,11.16666,47.01884,75.11737,60.79131,265.4002,382.8712
137,0.5131549,2.677358,4.813091,11.19912,47.01445,75.11066,60.79784,265.4196,382.9004
138,0.5131428,2.684222,4.822509,11.22528,47.00497,75.10478,60.80462,265.4293,382.9262
139,0.5131367,2.692297,4.831028,11.24542,46.99141,75.09978,60.81199,265.4316,382.9521
140,0.513133,2.701275,4.838666,11.25975,46.97525,75.09585,60.81959,265.4291,382.9778
141,0.5131356,2.71102,4.845434,11.26871,46.95734,75.09297,60.8273,265.4229,383.0033
142,0.5131413,2.721406,4.851386,11.27275,46.93879,75.09123,60.83515,265.4137,383.0292
143,0.513153,2.732296,4.85653,11.27242,46.92086,75.09106,60.84297,265.4037,383.0562
144,0.5131701,2.743583,4.860921,11.26827,46.90418,75.09209,60.85072,265.3936,383.083
145,0.5131929,2.755137,4.864612,11.26078,46.88933,75.09457,60.85827,265.3841,383.1103
146,0.5132212,2.766813,4.867063,11.25051,46.87687,75.09814,60.86545,265.3753,383.1391
147,0.5132558,2.778478,4.868927,11.2379,46.86689,75.10308,60.87223,265.3682,383.1678
148,0.513298,2.790006,4.870379,11.22345,46.85992,75.10902,60.87852,265.3633,383.1956
149,0.513346,2.801259,4.871494,11.2075,46.85595,75.11593,60.88424,265.36,383.2238
150,0.513403,2.812118,4.872334,11.19055,46.85525,75.12357,60.88928,265.3591,383.2512
151,0.5134665,2.822474,4.872954,11.17284,46.85757,75.13186,60.89355,265.3603,383.2766
152,0.5135386,2.832221,4.873363,11.15472,46.86293,75.1405,60.89715,265.3642,383.3008
153,0.5136189,2.840837,4.873636,11.13641,46.87116,75.14959,60.89993,265.3703,383.3239
154,0.5137083,2.848578,4.873782,11.1183,46.882,75.1586,60.90193,265.3782,383.3448
155,0.5138061,2.855494,4.87385,11.10056,46.89519,75.16745,60.90326,265.3884,383.3629
156,0.5139125,2.861561,4.873858,11.08342,46.91073,75.17603,60.90373,265.4006,383.3788
157,0.514111,2.866719,4.873833,11.06704,46.92786,75.18406,60.90349,265.4137,383.3929
158,0.514337,2.870943,4.873791,11.05155,46.9466,75.19147,60.90272,265.4291,383.4044
159,0.5145836,2.873811,4.873776,11.03715,46.96654,75.19807,60.90134,265.4459,383.4132
160,0.5148456,2.875719,4.873771,11.02391,46.9874,75.20387,60.89948,265.4633,383.4191
161,0.5151222,2.876781,4.873816,11.01198,47.00871,75.2086,60.89714,265.4814,383.4231
162,0.5154164,2.876945,4.873894,11.00143,47.03053,75.2123,60.89454,265.5007,383.4248
163,0.5157227,2.87654,4.874023,10.99226,47.052,75.21474,60.89151,265.5201,383.4251
164,0.5160443,2.875648,4.874211,10.98456,47.07336,75.21617,60.88858,265.5399,383.4238
165,0.5163795,2.87373,4.874474,10.97825,47.09396,75.21619,60.88549,265.5596,383.421
166,0.5167248,2.871042,4.874767,10.97331,47.11378,75.21516,60.88232,265.5793,383.4172
167,0.5170817,2.867716,4.875138,10.96974,47.13243,75.21326,60.87921,265.5985,383.412
168,0.5174492,2.863824,4.875553,10.96747,47.14985,75.21024,60.87653,265.6172,383.4057
169,0.5178241,2.858849,4.876016,10.96655,47.16583,75.20616,60.87399,265.6348,383.4002
170,0.518205,2.853233,4.876513,10.96676,47.18019,75.20125,60.87183,265.6519,383.3945
171,0.5185918,2.847165,4.877036,10.96802,47.19273,75.19551,60.87002,265.6681,383.3893
172,0.5189813,2.840769,4.877572,10.97022,47.20356,75.18909,60.86851,265.6834,383.3839
173,0.5193737,2.834116,4.878115,10.97339,47.21249,75.18221,60.86756,265.6976,383.3792
174,0.5197666,2.827308,4.87865,10.97731,47.21961,75.17501,60.8672,265.7102,383.3762
175,0.5201588,2.820412,4.879191,10.98203,47.22474,75.16749,60.86728,265.7216,383.3739
176,0.5205507,2.81348,4.879698,10.98733,47.22805,75.15987,60.8679,265.7313,383.3738
177,0.5209402,2.806582,4.880152,10.9932,47.22974,75.15221,60.86908,265.7401,383.3751
178,0.5213254,2.799782,4.880567,10.99953,47.22971,75.14484,60.87078,265.7472,383.3778
179,0.5217059,2.793105,4.880926,11.00615,47.22793,75.13772,60.8728,265.7529,383.382
