"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:43:49 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp04_+SIW+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 1"
Number_of_cells,56
"<HEADER end/>"

Year,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
1,0.9453817,0.9811893,0.1874951,22.96942,2.236631,35.82207,6.049536,14.73968,81.57439,87.09376,49.31147,214.9215,213.6268,4513.359
2,0.9387391,1.00036,0.1916326,23.11057,2.211514,35.8432,6.053189,14.72798,81.33624,87.53345,49.58241,214.6329,213.0075,4515.131
3,0.9702784,0.9991668,0.1906882,23.12013,2.222803,35.81989,6.032343,14.70219,81.11577,87.44659,49.34217,214.8963,212.7549,4515.697
4,0.9987025,0.9860883,0.1863006,23.0003,2.248852,35.81776,6.022755,14.69785,81.06699,87.04998,48.91016,215.1492,213.0018,4514.681
5,1.003354,0.9743619,0.1826822,22.90464,2.264122,35.84452,6.037632,14.71896,81.12568,86.78268,48.70494,215.1298,213.396,4513.65
6,0.9870802,0.9703164,0.181896,22.90298,2.261137,35.88483,6.058266,14.74067,81.18369,86.7933,48.79672,215.0083,213.5487,4513.622
7,0.9699571,0.9722073,0.1829882,22.9383,2.250687,35.91889,6.065224,14.74546,81.21914,86.92791,48.97027,214.9893,213.4526,4514.133
8,0.9597554,0.9765149,0.1845173,22.96214,2.242159,35.9322,6.060292,14.73864,81.25308,87.05428,49.08641,215.0228,213.3084,4514.415
9,0.957433,0.9804385,0.1856158,22.9869,2.237808,35.92353,6.054627,14.73115,81.25375,87.14368,49.13965,214.985,213.2025,4514.427
10,0.9605854,0.981689,0.1857791,22.99959,2.237518,35.90784,6.052205,14.72711,81.20687,87.16522,49.12841,214.9282,213.1456,4514.459
11,3.901991,4.450563,0.6056902,76.02451,6.153034,81.53496,13.57874,87.98402,201.6927,449.9664,91.46918,336.1161,331.2685,4492.962
12,3.061907,3.179073,0.4305648,63.16238,8.204157,72.09444,12.05249,107.1568,252.3317,527.4969,84.73491,420.2404,414.7655,4476.45
13,3.894881,2.808763,0.3580636,61.92041,10.13963,70.37159,11.81333,107.1628,270.9173,506.7523,78.52866,456.5932,453.347,4471.993
14,4.908114,2.409958,0.2825631,60.32249,11.79719,70.19931,11.76747,107.6011,270.2539,483.3057,72.17448,473.3329,469.8557,4473.813
15,5.152447,2.195461,0.244339,58.18859,12.90715,70.00236,11.71767,107.968,273.4014,468.8396,68.30751,489.8819,485.4307,4470.474
16,5.018815,2.175991,0.2411269,57.92188,13.19522,69.85067,11.72471,108.1147,277.1093,467.8382,67.9774,495.3912,492.1139,4466.713
17,5.016645,2.193408,0.247322,58.89794,13.07278,69.73026,11.72421,107.9612,277.6252,472.0402,69.04337,492.4114,490.0902,4468.141
18,5.064999,2.191988,0.2514424,59.76352,12.93371,69.65411,11.68332,107.6923,277.1324,475.3794,69.89336,489.823,486.4333,4471.521
19,5.128574,2.180082,0.2520141,60.15312,12.88872,69.63019,11.64812,107.5327,276.7326,476.5782,70.17643,488.9718,484.3093,4472.414
20,5.160925,2.170816,0.2502687,60.02031,12.90535,69.60858,11.6453,107.5344,276.2028,475.7718,69.96164,488.7316,484.1262,4471.182
