"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:41:36 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp03_+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average biomass by group (t/km^2)"
Area,"Total area (km^2)"
Number_of_cells,3600
"<HEADER end/>"

TimeStep,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
1,0.5223227,2.511219,4.617356,10.62613,46.63234,75.25336,60.76219,255.9382,381.1948
2,0.5220256,2.512099,4.618277,10.63226,46.62037,75.25629,60.76206,255.9174,381.1892
3,0.5217169,2.513941,4.618978,10.63735,46.60783,75.25919,60.76204,255.8967,381.1834
4,0.5213994,2.516698,4.619443,10.64142,46.59499,75.26208,60.76188,255.8755,381.1783
5,0.5210746,2.519846,4.619684,10.64459,46.582,75.26517,60.76183,255.8543,381.1721
6,0.5207451,2.52357,4.619702,10.64691,46.56887,75.26829,60.76153,255.8336,381.1657
7,0.5205517,2.52786,4.619506,10.64842,46.55596,75.27138,60.76107,255.8135,381.1585
8,0.5203705,2.532684,4.619106,10.64921,46.54345,75.27442,60.76051,255.7933,381.1514
9,0.5201871,2.537984,4.618524,10.64932,46.53133,75.27743,60.75991,255.7737,381.1441
10,0.5200033,2.543696,4.617774,10.64877,46.51979,75.2803,60.75908,255.7545,381.1359
11,0.5198194,2.549765,4.616853,10.64766,46.50877,75.28326,60.75815,255.7367,381.1274
12,0.5196365,2.556137,4.615796,10.64597,46.49871,75.28598,60.75703,255.7197,381.1188
13,0.5194549,2.562756,4.614617,10.64378,46.4893,75.28841,60.7556,255.7028,381.1099
14,0.5192736,2.569553,4.613339,10.64108,46.4808,75.29089,60.75435,255.6874,381.1011
15,0.5190965,2.576503,4.611979,10.63794,46.47321,75.29286,60.75265,255.6734,381.091
16,0.5189211,2.583533,4.610569,10.63439,46.46644,75.29503,60.75095,255.6602,381.0807
17,0.5187484,2.591586,4.60912,10.63047,46.46064,75.2967,60.74907,255.6478,381.0705
18,0.5185819,2.5999,4.60765,10.62609,46.4557,75.29807,60.74715,255.6368,381.0602
19,0.5184174,2.608207,4.606182,10.62127,46.45168,75.29916,60.74496,255.6267,381.0491
20,0.5182611,2.616378,4.604745,10.61599,46.44849,75.30008,60.74273,255.6183,381.0368
21,0.5181089,2.624346,4.603339,10.61026,46.44624,75.30064,60.74043,255.6113,381.0257
22,0.5179626,2.63207,4.601998,10.60413,46.44489,75.30095,60.73807,255.6055,381.0152
23,0.5178223,2.639486,4.600733,10.59766,46.44434,75.30093,60.73568,255.6007,381.0034
24,0.5176893,2.646557,4.599552,10.59083,46.44471,75.30071,60.73333,255.5971,380.9927
25,0.5175617,2.653236,4.598489,10.58378,46.4458,75.30016,60.7309,255.5955,380.9824
26,0.5174407,2.658738,4.597538,10.57652,46.44776,75.29938,60.72849,255.5947,380.9719
27,0.5173275,2.663665,4.596702,10.56917,46.45042,75.29842,60.72624,255.5953,380.9617
28,0.5172192,2.668147,4.596002,10.56183,46.45395,75.29726,60.72404,255.5972,380.9523
29,0.517117,2.672211,4.595431,10.55458,46.45816,75.29572,60.72186,255.6001,380.9432
30,0.5170221,2.675858,4.595003,10.5475,46.46298,75.29414,60.7199,255.6048,380.9342
31,0.5169336,2.679069,4.594712,10.5406,46.46835,75.29229,60.7179,255.6101,380.9269
32,0.5168505,2.681833,4.594561,10.53399,46.47426,75.2902,60.71616,255.6166,380.921
33,0.5167742,2.684139,4.594554,10.52768,46.48078,75.28787,60.71471,255.6239,380.9153
34,0.516704,2.685987,4.594659,10.52174,46.48751,75.28558,60.71323,255.6322,380.9105
35,0.5166407,2.687364,4.594911,10.51621,46.49474,75.28309,60.71217,255.6414,380.9057
36,0.5165819,2.688284,4.595282,10.51108,46.50198,75.28036,60.71113,255.651,380.9035
37,0.5165276,2.688741,4.595777,10.50646,46.50944,75.27754,60.71033,255.6609,380.901
38,0.5164816,2.688746,4.596372,10.50229,46.51686,75.27483,60.70976,255.6714,380.9006
39,0.5164397,2.688323,4.597059,10.49864,46.52431,75.27213,60.70955,255.6823,380.9005
40,0.5164015,2.687461,4.597857,10.49552,46.53175,75.26921,60.70952,255.6938,380.9008
41,0.5163692,2.686217,4.598722,10.4929,46.53884,75.26618,60.70952,255.7044,380.9041
42,0.5163398,2.684578,4.599661,10.49082,46.54553,75.26331,60.71004,255.7154,380.9064
43,0.5163147,2.68258,4.600659,10.48927,46.55218,75.26033,60.71067,255.7263,380.9096
44,0.516292,2.680251,4.601719,10.48821,46.55833,75.25739,60.71141,255.7376,380.9144
45,0.516273,2.677613,4.602799,10.48765,46.56395,75.25484,60.71243,255.7481,380.9205
46,0.5162563,2.674713,4.603924,10.48755,46.56907,75.25202,60.71386,255.7585,380.9266
47,0.5162412,2.671569,4.605057,10.48794,46.57362,75.24944,60.71515,255.7682,380.9324
48,0.516228,2.668234,4.606192,10.48874,46.5776,75.2471,60.71672,255.7775,380.9411
49,0.5162147,2.664718,4.607328,10.48993,46.58098,75.2447,60.71847,255.7865,380.9491
50,0.5162032,2.661066,4.608449,10.49148,46.58368,75.24261,60.72043,255.7944,380.9574
51,0.5161924,2.657311,4.609539,10.49335,46.58589,75.2408,60.72245,255.8018,380.9669
52,0.5161811,2.653468,4.61061,10.4955,46.58742,75.23898,60.72469,255.8092,380.9766
53,0.5161684,2.649588,4.611616,10.49788,46.58827,75.23739,60.72678,255.8151,380.9866
54,0.5161554,2.645693,4.6126,10.50048,46.58871,75.2361,60.72916,255.8208,380.996
55,0.5161422,2.641809,4.613511,10.50323,46.58857,75.23505,60.73143,255.8254,381.0063
56,0.5161266,2.637961,4.614372,10.5061,46.58773,75.23431,60.73389,255.8294,381.0168
57,0.5161113,2.634179,4.615162,10.50905,46.58665,75.23363,60.73618,255.8327,381.0271
58,0.5160935,2.630488,4.615887,10.51205,46.58507,75.23329,60.73853,255.8357,381.037
59,0.5160722,2.626896,4.616535,10.51511,46.58324,75.23316,60.74076,255.8373,381.0472
60,0.5160508,2.623443,4.61711,10.51815,46.58098,75.23335,60.74314,255.8387,381.0567
61,0.5160271,2.620122,4.617602,10.52116,46.57841,75.23361,60.74534,255.8392,381.0668
62,0.5160003,2.61697,4.618034,10.52412,46.57573,75.23425,60.74741,255.8393,381.0757
63,0.5159705,2.613986,4.618384,10.52698,46.57293,75.23505,60.74924,255.8386,381.0835
64,0.5159392,2.611187,4.618663,10.5298,46.56993,75.23603,60.75115,255.8377,381.0925
65,0.5159047,2.609385,4.618876,10.53253,46.56695,75.2372,60.75285,255.836,381.0993
66,0.515869,2.607855,4.619006,10.53509,46.56395,75.23851,60.7543,255.8341,381.1069
67,0.5158305,2.606456,4.619079,10.53749,46.56102,75.23999,60.7557,255.8317,381.1134
68,0.5157891,2.605171,4.619099,10.53971,46.55802,75.24167,60.75691,255.829,381.1187
69,0.5157466,2.604007,4.619069,10.54176,46.55513,75.24332,60.7579,255.8258,381.1233
70,0.5157023,2.602956,4.618975,10.54364,46.55252,75.24521,60.7587,255.8223,381.1275
71,0.5156562,2.602009,4.618853,10.54536,46.55003,75.24719,60.75922,255.819,381.1309
72,0.5156055,2.601187,4.618675,10.54694,46.54773,75.24905,60.75976,255.8156,381.1329
73,0.5155552,2.600467,4.618478,10.54837,46.54564,75.25105,60.76004,255.8119,381.136
74,0.5155015,2.599875,4.61826,10.54967,46.54372,75.25305,60.76011,255.8083,381.1368
75,0.5154473,2.599394,4.618021,10.55088,46.542,75.255,60.76012,255.8044,381.1375
76,0.5153889,2.599007,4.617755,10.552,46.54057,75.25695,60.75982,255.8005,381.1371
77,0.515329,2.598743,4.617482,10.55303,46.53929,75.25891,60.75934,255.7966,381.1358
78,0.5152701,2.598569,4.617199,10.55402,46.53827,75.26083,60.75866,255.7928,381.1338
79,0.5152063,2.5985,4.616921,10.55492,46.53742,75.26259,60.75797,255.789,381.1313
80,0.5151421,2.598536,4.616639,10.55581,46.53671,75.26434,60.75719,255.785,381.1284
81,0.5150763,2.59866,4.61636,10.55664,46.5362,75.26591,60.75618,255.7814,381.1252
82,0.5150084,2.598877,4.616098,10.55746,46.53576,75.26753,60.7552,255.7778,381.1218
83,0.5149402,2.599181,4.615832,10.55823,46.53554,75.2688,60.7541,255.7744,381.1169
84,0.5148701,2.59956,4.61558,10.55901,46.53537,75.26995,60.75299,255.7711,381.1118
85,0.5147991,2.600032,4.615346,10.55973,46.53518,75.27116,60.75169,255.7674,381.1071
86,0.5147268,2.600569,4.615126,10.56041,46.53513,75.27207,60.75045,255.7641,381.1018
87,0.5146535,2.601185,4.614914,10.5611,46.53502,75.27288,60.74921,255.7608,381.0959
88,0.5145785,2.601867,4.614726,10.56176,46.53501,75.27362,60.74785,255.7576,381.0902
89,0.5145056,2.602602,4.614541,10.56234,46.53485,75.27427,60.7465,255.754,381.0839
90,0.5144309,2.603401,4.614384,10.56291,46.53473,75.27466,60.74525,255.7511,381.0785
91,0.5143546,2.604261,4.614234,10.56343,46.53445,75.27481,60.74397,255.748,381.0731
92,0.51428,2.60516,4.614097,10.5639,46.53418,75.27515,60.74291,255.7452,381.0668
93,0.5142035,2.606114,4.613971,10.56429,46.53383,75.27515,60.74171,255.7423,381.0607
94,0.5141291,2.607108,4.613865,10.56466,46.53339,75.27518,60.74058,255.7394,381.0557
95,0.5140523,2.608136,4.613761,10.56492,46.53289,75.27502,60.73959,255.7366,381.0497
96,0.5139773,2.609197,4.613664,10.56511,46.53225,75.27483,60.73864,255.7338,381.045
97,0.5139014,2.610291,4.613569,10.56527,46.53162,75.27437,60.73777,255.7315,381.0396
98,0.5138265,2.611408,4.613494,10.56529,46.53085,75.27412,60.73698,255.7291,381.0345
99,0.5137514,2.612551,4.613429,10.56527,46.5299,75.27367,60.73621,255.7269,381.0304
100,0.513678,2.613717,4.613355,10.56515,46.529,75.2733,60.7356,255.7248,381.0266
101,0.5136039,2.61489,4.61328,10.56492,46.52804,75.27264,60.73504,255.7225,381.0231
102,0.5135317,2.616065,4.613206,10.56462,46.527,75.27219,60.73456,255.7209,381.0193
103,0.5134591,2.617251,4.613151,10.56422,46.52583,75.27153,60.73414,255.7189,381.0161
104,0.5133885,2.618437,4.613088,10.56373,46.5247,75.27103,60.73376,255.7174,381.013
105,0.5133178,2.619617,4.61302,10.56316,46.52361,75.2704,60.73346,255.716,381.0106
106,0.5132493,2.620795,4.612947,10.56252,46.52241,75.26981,60.73327,255.7145,381.0081
107,0.5131809,2.621966,4.612881,10.56181,46.52135,75.26936,60.73314,255.713,381.0061
108,0.5131141,2.623119,4.612805,10.56098,46.52034,75.26873,60.73302,255.712,381.0052
109,0.5130494,2.62425,4.612734,10.5601,46.51934,75.26825,60.73299,255.7111,381.0036
110,0.5129842,2.625367,4.612663,10.55914,46.5184,75.26769,60.73311,255.7103,381.0036
111,0.512921,2.626454,4.612594,10.55815,46.51754,75.26731,60.73317,255.7099,381.0031
112,0.5128597,2.627516,4.612528,10.55712,46.5167,75.2669,60.73324,255.7094,381.0027
113,0.5127985,2.628538,4.612461,10.55601,46.51619,75.26646,60.73336,255.7093,381.0028
114,0.5127395,2.629541,4.612396,10.55485,46.51563,75.26605,60.73346,255.7093,381.0026
115,0.5126809,2.630493,4.61234,10.55369,46.51507,75.26572,60.73372,255.7093,381.0028
116,0.5126253,2.631413,4.612288,10.5525,46.51474,75.26535,60.73388,255.7095,381.003
117,0.5125704,2.632297,4.612236,10.55127,46.51464,75.26511,60.73406,255.7101,381.0038
118,0.5125166,2.633122,4.612187,10.55006,46.51458,75.2648,60.73421,255.7108,381.0043
119,0.5124646,2.633907,4.612147,10.54884,46.51463,75.26451,60.73441,255.7117,381.0057
120,0.5124143,2.63464,4.612124,10.54764,46.51485,75.26432,60.7346,255.7126,381.0064
121,0.5123649,2.635327,4.612108,10.54641,46.51527,75.26417,60.73476,255.7137,381.007
122,0.5123173,2.635952,4.612104,10.54521,46.51579,75.26399,60.73491,255.7148,381.008
123,0.5122709,2.636537,4.61211,10.54403,46.51636,75.26372,60.73509,255.7163,381.0096
124,0.512226,2.637055,4.612121,10.54286,46.51711,75.26349,60.7353,255.7179,381.0109
125,0.5121834,2.637524,4.612164,10.54178,46.51799,75.26334,60.73551,255.7194,381.0118
126,0.5121405,2.637942,4.612211,10.54071,46.51897,75.26318,60.73563,255.7211,381.0131
127,0.5121003,2.638303,4.612278,10.53969,46.52003,75.26305,60.73578,255.7228,381.0141
128,0.5120605,2.63861,4.612354,10.53872,46.52111,75.26286,60.7359,255.7249,381.0155
129,0.5120233,2.638855,4.612445,10.53778,46.52236,75.26273,60.73606,255.7268,381.0167
130,0.5119855,2.639056,4.612546,10.5369,46.52356,75.26259,60.73618,255.7289,381.0182
131,0.5119506,2.639199,4.612679,10.53606,46.52493,75.26228,60.73631,255.7313,381.0193
132,0.5119155,2.639284,4.61282,10.53533,46.52631,75.26215,60.73644,255.7334,381.0207
133,0.5118827,2.639331,4.61298,10.53463,46.52771,75.26187,60.73655,255.7356,381.0219
134,0.5118502,2.639319,4.613148,10.53398,46.52921,75.2617,60.73664,255.7376,381.0234
135,0.5118185,2.639258,4.613332,10.53337,46.53063,75.26152,60.73668,255.74,381.0247
136,0.511789,2.639147,4.613534,10.53285,46.53201,75.26124,60.73684,255.7422,381.0256
137,0.5117601,2.638997,4.613746,10.53239,46.53346,75.26099,60.737,255.7444,381.0266
138,0.511732,2.638793,4.61396,10.53199,46.53487,75.2608,60.73714,255.7466,381.0282
139,0.5117047,2.638556,4.614196,10.53161,46.5361,75.26057,60.7373,255.7488,381.029
140,0.5116785,2.638278,4.614435,10.53131,46.53739,75.26033,60.7375,255.7507,381.0302
141,0.5116525,2.637961,4.614685,10.53104,46.53862,75.26009,60.73769,255.7525,381.0312
142,0.5116273,2.637608,4.614936,10.53086,46.53978,75.2599,60.73792,255.7545,381.0324
143,0.5116025,2.637218,4.6152,10.53069,46.54096,75.2596,60.73812,255.7567,381.0338
144,0.5115786,2.636801,4.615466,10.53059,46.54202,75.25934,60.73832,255.7583,381.0353
145,0.5115554,2.636353,4.615732,10.53051,46.54301,75.25908,60.73852,255.7603,381.0369
146,0.5115324,2.635883,4.615995,10.53049,46.54394,75.25883,60.73874,255.7619,381.0388
147,0.5115108,2.635389,4.616263,10.5305,46.54477,75.25855,60.73896,255.7636,381.0402
148,0.5114882,2.634869,4.61652,10.53053,46.54557,75.25834,60.73925,255.7654,381.0414
149,0.5114669,2.634334,4.616783,10.53062,46.54628,75.25813,60.73955,255.767,381.043
150,0.5114466,2.633781,4.617045,10.5307,46.54687,75.25787,60.73982,255.7681,381.0444
151,0.511425,2.633216,4.617295,10.53084,46.54742,75.25768,60.74013,255.7695,381.046
152,0.5114046,2.632638,4.617539,10.531,46.54788,75.25755,60.74043,255.7706,381.0474
153,0.5113835,2.632053,4.617782,10.53119,46.54826,75.25729,60.74076,255.7719,381.0491
154,0.5113632,2.631459,4.618013,10.5314,46.5486,75.25702,60.74109,255.7728,381.0506
155,0.5113428,2.630869,4.618239,10.53163,46.54889,75.25687,60.74144,255.7737,381.0526
156,0.511323,2.630266,4.61845,10.53188,46.54907,75.25678,60.74174,255.7744,381.0542
157,0.5113022,2.629663,4.618656,10.53213,46.54925,75.25668,60.74205,255.7752,381.0557
158,0.5112823,2.629064,4.618849,10.53241,46.54933,75.25659,60.74231,255.7759,381.0571
159,0.5112611,2.628473,4.619025,10.5327,46.54935,75.25657,60.74267,255.7767,381.059
160,0.5112395,2.627885,4.619195,10.53301,46.54933,75.25655,60.74289,255.7771,381.0604
161,0.5112191,2.627307,4.61935,10.53331,46.54928,75.25656,60.74325,255.7777,381.0618
162,0.5111988,2.626731,4.619494,10.53361,46.54918,75.25667,60.74354,255.7781,381.0633
163,0.5111784,2.626175,4.619627,10.53394,46.54909,75.25668,60.74385,255.7782,381.0641
164,0.5111568,2.625626,4.619746,10.53428,46.54897,75.25672,60.74414,255.7783,381.0651
165,0.5111357,2.625093,4.619852,10.53464,46.54878,75.2568,60.74446,255.7783,381.0665
166,0.5111126,2.624568,4.619948,10.53499,46.54855,75.25687,60.74463,255.7784,381.0678
167,0.5110909,2.624068,4.620035,10.53536,46.54833,75.25706,60.7449,255.7783,381.0685
168,0.5110689,2.623585,4.620105,10.53572,46.54808,75.25716,60.74509,255.7783,381.0692
169,0.5110467,2.623122,4.620171,10.53609,46.54781,75.25727,60.74525,255.7782,381.07
170,0.5110241,2.622672,4.620226,10.53648,46.54753,75.25742,60.74544,255.7779,381.0713
171,0.5110013,2.622247,4.62027,10.53686,46.54725,75.25761,60.7456,255.7776,381.0724
172,0.5109783,2.621841,4.620305,10.53725,46.54698,75.25779,60.74578,255.7772,381.0734
173,0.510953,2.621457,4.620333,10.53763,46.54668,75.25795,60.74588,255.7768,381.0741
174,0.5109293,2.621096,4.620353,10.53801,46.54636,75.25813,60.74596,255.7763,381.0744
175,0.5109039,2.62077,4.620363,10.53839,46.54609,75.25834,60.74599,255.7757,381.0747
176,0.5108795,2.620451,4.620366,10.53879,46.54577,75.25852,60.74606,255.7751,381.0748
177,0.5108553,2.620166,4.620361,10.53919,46.54549,75.25874,60.74611,255.7746,381.0749
178,0.510831,2.619906,4.620351,10.53956,46.54517,75.25903,60.74615,255.7739,381.0754
179,0.5108054,2.619664,4.620339,10.53996,46.54488,75.25922,60.74611,255.7732,381.0753
180,0.5107793,2.619448,4.620317,10.54033,46.54456,75.25947,60.74608,255.7727,381.0751
