"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:41:36 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp03_+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional biomass by group (t/km^2)"
Area,"Region 1"
Number_of_cells,56
"<HEADER end/>"

TimeStep,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
52,0.5225314,2.696167,4.721005,10.8455,47.62499,75.20101,60.68063,264.1001,382.2932
53,0.5225283,2.692486,4.721889,10.84748,47.62587,75.20055,60.68364,264.1065,382.3072
54,0.5225244,2.688791,4.722732,10.8497,47.6264,75.20049,60.68656,264.1124,382.3214
55,0.5225197,2.685107,4.723526,10.85212,47.62656,75.20083,60.68945,264.1175,382.3354
56,0.5225138,2.681459,4.724271,10.8547,47.62641,75.20152,60.69223,264.122,382.3491
57,0.5225064,2.677871,4.724963,10.85741,47.62596,75.20256,60.69488,264.1257,382.3622
58,0.5224969,2.674366,4.725597,10.86022,47.62524,75.20391,60.69739,264.1288,382.375
59,0.5224857,2.670964,4.726171,10.86312,47.62429,75.20553,60.69976,264.1311,382.3871
60,0.5224723,2.667682,4.726687,10.86607,47.62313,75.20738,60.7019,264.1328,382.3984
61,0.5224566,2.664537,4.727144,10.86903,47.62179,75.20947,60.70388,264.1338,382.4089
62,0.5224383,2.661541,4.727538,10.87199,47.62032,75.21172,60.70564,264.1343,382.4185
63,0.5224177,2.658709,4.727875,10.87492,47.61872,75.21411,60.70717,264.1342,382.4272
64,0.5223944,2.656047,4.728153,10.87782,47.61706,75.21662,60.70849,264.1335,382.4349
65,0.5223683,2.654333,4.728374,10.88066,47.61533,75.21919,60.70958,264.1323,382.4416
66,0.52234,2.652867,4.728539,10.88338,47.61356,75.2218,60.71044,264.1306,382.4472
